ID | GDT link | title | status
CAPA-1 | https://gosqas.org/history/5LNQBWABrnnWLk3eZrvXXN | DMDM Tucson P1S Bambu Printer CAPA | open
CAPA-2 | https://gosqas.org/record/3LqueghsqrmNLh3zqWQzeX  | Unaproved thread used | closed
CAPA-3 | https://gosqas.org/record/4n8Wp6eTzktXioqQ2JHF1E  | Hollow Windlass | open
