Parent Record Key,Parent URL,Parent Device Name,Reporting Key,Child Name,Child Key,Child Key URL,isReportingKey
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #328","6Zu87ueh7Y4EyMSm9Jx6ir","https://gosqas.org/history/6Zu87ueh7Y4EyMSm9Jx6ir","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #329","EHZ2axYCUdoALrXyycvm9X","https://gosqas.org/history/EHZ2axYCUdoALrXyycvm9X","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #330","UXfx1FMXFTvWznyYxBgazB","https://gosqas.org/history/UXfx1FMXFTvWznyYxBgazB","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #331","CExTHVxQU3qgj7yzPwnRAz","https://gosqas.org/history/CExTHVxQU3qgj7yzPwnRAz","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #332","LWG6unQhjaR91c1KJbnFBi","https://gosqas.org/history/LWG6unQhjaR91c1KJbnFBi","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #333","8WAzgz5Q21cxZvr9DB8pyS","https://gosqas.org/history/8WAzgz5Q21cxZvr9DB8pyS","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #334","YA9zmFxewpQn8kvtbSreAH","https://gosqas.org/history/YA9zmFxewpQn8kvtbSreAH","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #335","Ffo3zPprBBqcefz8BqWkx2","https://gosqas.org/history/Ffo3zPprBBqcefz8BqWkx2","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #336","AUA3SNBEdoz9GLUijMxW5f","https://gosqas.org/history/AUA3SNBEdoz9GLUijMxW5f","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #337","JPDJT6ktyQnv8GmAmT5T9K","https://gosqas.org/history/JPDJT6ktyQnv8GmAmT5T9K","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #338","MJFUUx1qmW2u8CqfH29sNz","https://gosqas.org/history/MJFUUx1qmW2u8CqfH29sNz","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #339","SkCcHcXWc1pSLBsuFbhasS","https://gosqas.org/history/SkCcHcXWc1pSLBsuFbhasS","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #340","DnPiGtab4uZNAkb4u6cXzK","https://gosqas.org/history/DnPiGtab4uZNAkb4u6cXzK","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #341","YJb6beJiydvgDBnfQyr6z4","https://gosqas.org/history/YJb6beJiydvgDBnfQyr6z4","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #342","Pt8NUgugtbQ29royZHjSeY","https://gosqas.org/history/Pt8NUgugtbQ29royZHjSeY","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #343","3gz6cAHWH4xfZXsN11Ei2u","https://gosqas.org/history/3gz6cAHWH4xfZXsN11Ei2u","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #344","PVsGfTdWiqnWvfZAbAtnKZ","https://gosqas.org/history/PVsGfTdWiqnWvfZAbAtnKZ","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #345","GFm37AnccTJgNo1BMms83J","https://gosqas.org/history/GFm37AnccTJgNo1BMms83J","F"
"QTVXD5s1ybzX2gBf2G95Mu","https://gosqas.org/record/QTVXD5s1ybzX2gBf2G95Mu","DMDM TQ1 lot 3","9RYmhyEwYZwL5vyUNWPA2Q","DMDM TQ1 lot 3 #346","9aYk7z8f3Gp5nyJcheR4Nf","https://gosqas.org/history/9aYk7z8f3Gp5nyJcheR4Nf","F"
